station_name,lat_wgs84,lon_wgs84,trains_per_hour,gig_work_500m,gig_work_1000m,hospitals_500m,hospitals_1000m,private_clinics_500m,private_clinics_1000m,gp_doctors_500m,gp_doctors_1000m,specialists_500m,specialists_1000m,industrial_zones_500m,industrial_zones_1000m,industrial_companies_500m,industrial_companies_1000m,schools_500m,schools_1000m,grocery_stores_500m,grocery_stores_1000m,acoustic_points_500m,acoustic_points_1000m,uhi_high_500m,uhi_high_1000m,uhi_medium_500m,uhi_medium_1000m,uhi_low_500m,uhi_low_1000m,thermal_comfort_500m,thermal_comfort_1000m,restaurants_500m,restaurants_1000m,informal_learning_500m,informal_learning_1000m,rooftops_500m,rooftops_1000m,healthcare_total_500m,healthcare_total_1000m,religious_total_500m,religious_total_1000m,religious_denominations_1000m,religious_denominations_list,religious_shannon_diversity,station_richness_1000m
Genève-Champel,46.192208,6.153473,12.5,0,0,1,1,4,5,2,4,18,40,0,0,0,0,2,7,2,7,0,0,0,1,1,1,0,0,0,1,0,2,0,7,0,1,25,50,6,35,10,buddhist; christian; esoteric; evangelical; hindu; jewish; muslim; orthodox; other; protestant,2.123,127
Lancy-Bachet,46.174342,6.12934,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,esoteric; evangelical; orthodox; protestant,1.277,5
Lancy-Pont-Rouge,46.18596,6.124929,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,6,4,christian; evangelical; muslim; orthodox,1.33,11
Palézieux,46.542766,6.83786,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0
"Aubonne, gare",46.493844,6.39294,11.0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,3,5,3,4,2,christian; protestant,0.562,14
Coppet,46.317405,6.187806,9.5,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,3,3,2,2,0,0,3,6,0,2,1,christian,0.0,21
Bussigny,46.547597,6.551814,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,christian,0.0,3
Prilly-Malley,46.526697,6.602624,9.0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,5,1,12,5,buddhist; christian; evangelical; hindu; muslim,1.517,21
Cully,46.488565,6.727141,9.0,2,2,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,2,2,1,1,2,5,1,3,0,0,2,2,3,4,2,christian; protestant,0.562,20
"Begnins, poste",46.440225,6.247701,8.5,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,christian,0.0,7
Genève-Sécheron,46.222452,6.144542,8.0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,6,2,3,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,4,2,7,3,christian; muslim; protestant,0.956,23
Genthod-Bellevue,46.256747,6.153947,8.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,christian,0.0,10
Versoix,46.279741,6.165718,8.0,0,0,0,0,4,4,4,5,0,0,0,0,0,0,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,4,2,christian; protestant,0.562,23
Tannay,46.307659,6.181097,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,3
Mies,46.298503,6.167641,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,evangelical,0.0,4
Villeneuve VD,46.398369,6.926992,8.0,0,3,0,0,1,1,4,5,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,4,0,2,1,2,5,6,4,6,2,christian; protestant,0.451,27
Bex,46.251462,7.000653,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1
Gland,46.419998,6.269128,6.5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,2,0,4,2,2,0,0,0,0,0,0,0,0,2,5,2,3,0,0,0,5,6,8,5,buddhist; christian; evangelical; muslim; protestant,1.56,27
Allaman,46.47576,6.399683,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0.0,4
Puidoux,46.493838,6.76568,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,0.0,4
"Prangins, Les Abériaux",46.393015,6.254119,5.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,christian,0.0,4
Genève-Aéroport,46.232547,6.111969,4.5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6,4,buddhist; evangelical; muslim; other,1.33,7
Rolle,46.462757,6.336387,4.5,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,0,0,2,0,0,0,4,0,3,0,0,1,5,1,5,2,christian; evangelical,0.5,26
Grandvaux,46.496948,6.722641,4.5,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,4,0,3,0,0,0,1,0,4,2,buddhist; christian,0.562,16
St-Prex,46.482324,6.455897,4.0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,4,4,3,4,2,christian; protestant,0.562,13
Lonay-Préverenges,46.523141,6.519527,4.0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,5,2,christian; muslim,0.673,7
Lausanne-Flon,46.520798,6.63033,4.0,0,0,0,5,2,11,2,7,28,69,0,0,0,0,0,8,7,15,2,2,3,6,0,1,0,0,2,8,24,24,22,26,2,3,32,92,24,52,9,buddhist; christian; esoteric; evangelical; hindu; jewish; muslim; orthodox; protestant,1.943,277
La Conversion,46.513087,6.678307,4.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,christian,0.0,6
La Tour-de-Peilz,46.455457,6.859523,4.0,0,1,1,1,0,0,5,5,0,0,1,1,0,0,1,1,1,2,0,1,1,1,0,1,0,1,2,2,2,2,3,3,0,0,6,6,3,9,4,christian; esoteric; muslim; protestant,1.273,28
Burier,46.447889,6.877108,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,christian; protestant,0.693,4
Clarens,46.442736,6.895771,4.0,0,0,0,0,1,2,5,5,0,0,1,1,0,0,1,1,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,7,5,8,6,buddhist; christian; esoteric; evangelical; muslim; protestant,1.667,21
"Founex, est",46.334766,6.19494,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1
Rivaz,46.474211,6.784583,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,christian; protestant,0.693,2
"Perroy, Couronnette",46.463879,6.352911,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0.0,3
Epesses,46.489333,6.745157,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,,0.0,6
Denges-Echandens,46.529129,6.54049,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,christian; evangelical,0.693,1
Bossière,46.509753,6.699305,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,1
Territet,46.426381,6.922695,2.0,0,0,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,2,christian; protestant,0.637,12
"St-Saphorin (Lavaux), gare",46.472696,6.79809,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,christian,0.0,1
