tower_id,operator,technology,has_3g,has_4g,has_5g,power_class,station_type,is_indoor,E_LV95,N_LV95,lat_wgs84,lon_wgs84,source
TOWER_2605,Salt VD_3816A,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2536013,1151689,46.513445,6.604874,BAKOM/geo.admin.ch (22.02.26)
TOWER_2606,Sunrise GE258-1,Technology 4G,False,True,False,low,Outdoor ≤ 6 Werp,False,2498744,1114888,46.177846,6.127339,BAKOM/geo.admin.ch (22.02.26)
TOWER_2607,Swisscom LNIF,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2533540,1152580,46.521218,6.572525,BAKOM/geo.admin.ch (22.02.26)
TOWER_2608,Swisscom COPP,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2503638,1130170,46.316016,6.187552,BAKOM/geo.admin.ch (22.02.26)
TOWER_2609,Swisscom GMLB,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2498528,1118941,46.214267,6.123663,BAKOM/geo.admin.ch (22.02.26)
TOWER_2610,Salt VD_0219B,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2539348,1151888,46.515545,6.648301,BAKOM/geo.admin.ch (22.02.26)
TOWER_2611,Salt GE_7868A,Technology 4G,False,True,False,low,Indoor ≤ 6 Werp,True,2497300,1120789,46.230702,6.107346,BAKOM/geo.admin.ch (22.02.26)
TOWER_2612,Swisscom EPAR,Technology 4G,False,True,False,low,Indoor ≤ 6 Werp,True,2522342,1147680,46.475938,6.42743,BAKOM/geo.admin.ch (22.02.26)
TOWER_2613,Swisscom GIHU,"Technology 4G,5G",False,True,True,low,Indoor ≤ 6 Werp,True,2506121,1144429,46.444621,6.216902,BAKOM/geo.admin.ch (22.02.26)
TOWER_2614,Swisscom CRAL,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2533567,1153981,46.533823,6.572675,BAKOM/geo.admin.ch (22.02.26)
TOWER_2615,Swisscom GERC,Technology 4G,False,True,False,low,Outdoor ≤ 6 Werp,False,2500549,1117539,46.201959,6.150147,BAKOM/geo.admin.ch (22.02.26)
TOWER_2616,Salt GE_0050A,"Technology 3G,4G",True,True,False,low,Outdoor > 6 Werp,False,2505832,1118002,46.206882,6.218488,BAKOM/geo.admin.ch (22.02.26)
TOWER_2617,Salt VD_0124A,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2559629,1142568,46.433238,6.913379,BAKOM/geo.admin.ch (22.02.26)
TOWER_2618,Swisscom POCI,"Technology 3G,4G",True,True,False,low,Indoor ≤ 6 Werp,True,2497289,1113754,46.167426,6.108749,BAKOM/geo.admin.ch (22.02.26)
TOWER_2619,Swisscom RESN,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2534228,1154204,46.535894,6.581259,BAKOM/geo.admin.ch (22.02.26)
TOWER_2620,Swisscom MOLU,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2542675,1151962,46.516504,6.691642,BAKOM/geo.admin.ch (22.02.26)
TOWER_2621,Sunrise VD576-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2530795,1153062,46.525276,6.536683,BAKOM/geo.admin.ch (22.02.26)
TOWER_2622,Sunrise GE025-7,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2500520,1119106,46.216048,6.149438,BAKOM/geo.admin.ch (22.02.26)
TOWER_2623,Sunrise VD190-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2513114,1144450,46.445752,6.307891,BAKOM/geo.admin.ch (22.02.26)
TOWER_2624,Sunrise VD148-1,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2536536,1153971,46.534021,6.611375,BAKOM/geo.admin.ch (22.02.26)
TOWER_2625,Salt GE_4684B,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2504400,1116563,46.193738,6.200231,BAKOM/geo.admin.ch (22.02.26)
TOWER_2626,Swisscom BLNO,"Technology 3G,4G,5G",True,True,True,medium,Outdoor > 6 Werp,False,2556494,1145959,46.463545,6.872273,BAKOM/geo.admin.ch (22.02.26)
TOWER_2627,Sunrise GE011-4,"Technology 4G,5G",False,True,True,medium,Outdoor > 6 Werp,False,2497430,1116701,46.193953,6.109928,BAKOM/geo.admin.ch (22.02.26)
TOWER_2628,Salt GE_1012A,"Technology 3G,4G",True,True,False,medium,Outdoor > 6 Werp,False,2496500,1122000,46.241472,6.09671,BAKOM/geo.admin.ch (22.02.26)
