station_name,station_id,lat_wgs84,lon_wgs84,slot,date,window,departures,trains_per_hour,ic_ir,regional,categories
Lancy-Pont-Rouge,8516155,46.18596,6.124929,late_night,2026-03-02,21:00-23:00,17,8.5,0,17,"{""RE"": 1, ""R"": 16}"
Palézieux,8504014,46.542766,6.83786,late_night,2026-03-02,21:00-23:00,20,10.0,4,16,"{""IR"": 4, ""R"": 8, ""S"": 8}"
"Aubonne, gare",8501870,46.493844,6.39294,late_night,2026-03-02,21:00-23:00,9,4.5,0,0,"{""B"": 9}"
Coppet,8501023,46.317405,6.187806,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 8, ""RE"": 8}"
Bussigny,8501117,46.547597,6.551814,late_night,2026-03-02,21:00-23:00,18,9.0,0,18,"{""R"": 18}"
Prilly-Malley,8518452,46.526697,6.602624,late_night,2026-03-02,21:00-23:00,18,9.0,0,18,"{""R"": 18}"
Cully,8501124,46.488565,6.727141,late_night,2026-03-02,21:00-23:00,18,9.0,0,18,"{""R"": 18}"
"Begnins, poste",8501851,46.440225,6.247701,late_night,2026-03-02,21:00-23:00,9,4.5,0,0,"{""B"": 9}"
Genève-Sécheron,8516283,46.222452,6.144542,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 16}"
Genthod-Bellevue,8501021,46.256747,6.153947,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 16}"
Versoix,8501022,46.279741,6.165718,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 16}"
Tannay,8501015,46.307659,6.181097,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 16}"
Mies,8501014,46.298503,6.167641,late_night,2026-03-02,21:00-23:00,16,8.0,0,16,"{""R"": 16}"
Villeneuve VD,8501303,46.398369,6.926992,late_night,2026-03-02,21:00-23:00,7,3.5,0,7,"{""RE"": 1, ""R"": 6}"
Bex,8501402,46.251462,7.000653,late_night,2026-03-02,21:00-23:00,10,5.0,2,8,"{""RE"": 1, ""R"": 7, ""IR"": 2}"
Gland,8501031,46.419998,6.269128,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""RE"": 8}"
Allaman,8501035,46.47576,6.399683,late_night,2026-03-02,21:00-23:00,12,6.0,0,12,"{""R"": 4, ""RE"": 8}"
Puidoux,8504012,46.493838,6.76568,late_night,2026-03-02,21:00-23:00,12,6.0,0,12,"{""S"": 4, ""R"": 8}"
"Prangins, Les Abériaux",8595589,46.393015,6.254119,late_night,2026-03-02,21:00-23:00,8,4.0,0,0,"{""B"": 8}"
Genève-Aéroport,8501026,46.232547,6.111969,late_night,2026-03-02,21:00-23:00,6,3.0,2,4,"{""IR"": 2, ""RE"": 4}"
Rolle,8501033,46.462757,6.336387,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""RE"": 8}"
Grandvaux,8504011,46.496948,6.722641,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""S"": 4, ""R"": 4}"
St-Prex,8501036,46.482324,6.455897,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""R"": 8}"
Lonay-Préverenges,8501048,46.523141,6.519527,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""R"": 8}"
Lausanne-Flon,8501181,46.520798,6.63033,late_night,2026-03-02,21:00-23:00,4,2.0,0,4,"{""R"": 4}"
La Conversion,8504010,46.513087,6.678307,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""S"": 4, ""R"": 4}"
La Tour-de-Peilz,8501201,46.455457,6.859523,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""R"": 8}"
Burier,8501202,46.447889,6.877108,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""R"": 8}"
Clarens,8501203,46.442736,6.895771,late_night,2026-03-02,21:00-23:00,8,4.0,0,8,"{""R"": 8}"
"Founex, est",8588666,46.334766,6.19494,late_night,2026-03-02,21:00-23:00,5,2.5,0,0,"{""B"": 5}"
Rivaz,8501126,46.474211,6.784583,late_night,2026-03-02,21:00-23:00,6,3.0,0,6,"{""R"": 6}"
"Perroy, Couronnette",8570039,46.463879,6.352911,late_night,2026-03-02,21:00-23:00,4,2.0,0,0,"{""B"": 4}"
Epesses,8501125,46.489333,6.745157,late_night,2026-03-02,21:00-23:00,6,3.0,0,6,"{""R"": 6}"
Denges-Echandens,8501045,46.529129,6.54049,late_night,2026-03-02,21:00-23:00,4,2.0,0,4,"{""R"": 4}"
