station_name,station_id,lat_wgs84,lon_wgs84,freq_early_morning,deps_early_morning,ic_early_morning,freq_am_peak,deps_am_peak,ic_am_peak,freq_midday,deps_midday,ic_midday,freq_pm_peak,deps_pm_peak,ic_pm_peak,freq_evening,deps_evening,ic_evening,freq_late_night,deps_late_night,ic_late_night,freq_weekend_mid,deps_weekend_mid,ic_weekend_mid
Cully,8501124,46.488565,6.727141,8.5,17,0,9.0,18,0,9.0,18,0,9.0,18,0,9.0,18,0,9.0,18,0,8.0,16,0
"Begnins, poste",8501851,46.440225,6.247701,5.0,10,0,8.5,17,0,7.0,14,0,8.0,16,0,7.0,14,0,4.5,9,0,5.0,10,0
Genève-Sécheron,8516283,46.222452,6.144542,7.0,14,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0
Genthod-Bellevue,8501021,46.256747,6.153947,7.0,14,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0
Versoix,8501022,46.279741,6.165718,7.0,14,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0
Tannay,8501015,46.307659,6.181097,7.0,14,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0
Mies,8501014,46.298503,6.167641,7.0,14,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0
Villeneuve VD,8501303,46.398369,6.926992,5.0,10,0,8.0,16,0,8.0,16,0,8.0,16,0,8.0,16,0,3.5,7,0,8.0,16,0
Bex,8501402,46.251462,7.000653,6.5,13,5,7.5,15,0,7.0,14,0,7.0,14,0,7.5,15,0,5.0,10,2,7.0,14,0
Gland,8501031,46.419998,6.269128,5.0,10,3,6.5,13,4,4.0,8,0,5.5,11,3,5.0,10,2,4.0,8,0,4.5,9,1
Allaman,8501035,46.47576,6.399683,5.5,11,0,6.0,12,0,6.0,12,0,6.0,12,0,6.0,12,0,6.0,12,0,6.0,12,0
Puidoux,8504012,46.493838,6.76568,6.5,13,0,6.0,12,0,6.0,12,0,6.0,12,0,6.0,12,0,6.0,12,0,6.0,12,0
"Prangins, Les Abériaux",8595589,46.393015,6.254119,4.0,8,0,5.5,11,0,6.0,12,0,6.0,12,0,5.5,11,0,4.0,8,0,4.0,8,0
Genève-Aéroport,8501026,46.232547,6.111969,4.5,9,8,4.5,9,9,4.0,8,8,5.0,10,10,4.0,8,8,3.0,6,2,5.0,10,8
Rolle,8501033,46.462757,6.336387,3.5,7,0,4.5,9,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0
Grandvaux,8504011,46.496948,6.722641,3.5,7,0,4.5,9,0,4.0,8,0,5.0,10,0,4.0,8,0,4.0,8,0,4.0,8,0
St-Prex,8501036,46.482324,6.455897,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0
Lonay-Préverenges,8501048,46.523141,6.519527,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0
Lausanne-Flon,8501181,46.520798,6.63033,3.0,6,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,2.0,4,0,4.0,8,0
La Conversion,8504010,46.513087,6.678307,4.0,8,0,4.0,8,0,4.0,8,0,5.0,10,0,4.0,8,0,4.0,8,0,4.0,8,0
La Tour-de-Peilz,8501201,46.455457,6.859523,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0
Burier,8501202,46.447889,6.877108,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0
Clarens,8501203,46.442736,6.895771,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0,4.0,8,0
"Founex, est",8588666,46.334766,6.19494,4.0,8,0,3.5,7,0,4.0,8,0,4.5,9,0,2.5,5,0,2.5,5,0,2.0,4,0
Rivaz,8501126,46.474211,6.784583,3.0,6,0,3.5,7,0,3.0,6,0,3.0,6,0,3.0,6,0,3.0,6,0,2.0,4,0
"Perroy, Couronnette",8570039,46.463879,6.352911,1.5,3,0,3.0,6,0,1.5,3,0,2.0,4,0,2.0,4,0,2.0,4,0,1.5,3,0
Epesses,8501125,46.489333,6.745157,3.0,6,0,3.0,6,0,3.0,6,0,3.0,6,0,3.0,6,0,3.0,6,0,2.0,4,0
Denges-Echandens,8501045,46.529129,6.54049,2.0,4,0,2.0,4,0,2.0,4,0,2.0,4,0,2.0,4,0,2.0,4,0,2.0,4,0
Bossière,8504003,46.509753,6.699305,2.0,4,0,2.0,4,0,2.0,4,0,3.0,6,0,2.0,4,0,2.0,4,0,2.0,4,0
Territet,8501301,46.426381,6.922695,2.0,4,0,2.0,4,0,2.0,4,0,2.0,4,0,2.0,4,0,2.0,4,0,2.0,4,0
"St-Saphorin (Lavaux), gare",8510135,46.472696,6.79809,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
