station_name,station_id,lat_wgs84,lon_wgs84,E_lv95,N_lv95,first_train_wd,last_train_wd,service_window_wd,first_train_we,last_train_we,service_window_we,connectivity,mobility,freq_early_morning,ic_early_morning,ws_open_early_morning,transit_early_morning,workspace_early_morning,twci_early_morning,freq_am_peak,ic_am_peak,ws_open_am_peak,transit_am_peak,workspace_am_peak,twci_am_peak,freq_midday,ic_midday,ws_open_midday,transit_midday,workspace_midday,twci_midday,freq_pm_peak,ic_pm_peak,ws_open_pm_peak,transit_pm_peak,workspace_pm_peak,twci_pm_peak,freq_evening,ic_evening,ws_open_evening,transit_evening,workspace_evening,twci_evening,freq_late_night,ic_late_night,ws_open_late_night,transit_late_night,workspace_late_night,twci_late_night,freq_weekend_mid,ic_weekend_mid,ws_open_weekend_mid,transit_weekend_mid,workspace_weekend_mid,twci_weekend_mid
Tannay,8501015,46.307659,6.181097,2508259.0,1128495.0,04:24,08:54,4.5,04:24,10:09,5.8,0.8,0.01,7.0,0,0,0.0833,0.0,0.187,8.0,0,0,0.0952,0.0,0.1906,8.0,0,0,0.0952,0.0,0.1906,8.0,0,0,0.0952,0.0,0.1906,8.0,0,0,0.0952,0.0,0.1906,8.0,0,0,0.0952,0.0,0.1906,8.0,0,0,0.0952,0.0,0.1906
Mies,8501014,46.298503,6.167641,2507277.4,1127477.5,04:22,08:53,4.5,04:22,10:08,5.8,0.0,0.01,7.0,0,0,0.0833,0.0,0.027,8.0,0,0,0.0952,0.0,0.0306,8.0,0,0,0.0952,0.0,0.0306,8.0,0,0,0.0952,0.0,0.0306,8.0,0,0,0.0952,0.0,0.0306,8.0,0,0,0.0952,0.0,0.0306,8.0,0,0,0.0952,0.0,0.0306
Villeneuve VD,8501303,46.398369,6.926992,2562674.3,1138575.8,04:57,11:03,6.1,04:57,10:03,5.1,0.2,0.06,5.0,0,0,0.0595,0.0,0.0699,8.0,0,1,0.0952,0.0909,0.1078,8.0,0,1,0.0952,0.0909,0.1078,8.0,0,1,0.0952,0.0909,0.1078,8.0,0,1,0.0952,0.0909,0.1078,3.5,0,1,0.0417,0.0909,0.0918,8.0,0,1,0.0952,0.0909,0.1078
Bex,8501402,46.251462,7.000653,2568048.1,1122249.7,05:04,11:17,6.2,04:44,09:41,5.0,0.0,0.0633,6.5,5,0,0.0774,0.0,0.0359,7.5,0,0,0.0893,0.0,0.0394,7.0,0,0,0.0833,0.0,0.0377,7.0,0,0,0.0833,0.0,0.0377,7.5,0,0,0.0893,0.0,0.0394,5.0,2,0,0.0595,0.0,0.0305,7.0,0,0,0.0833,0.0,0.0377
Gland,8501031,46.419998,6.269128,2514681.2,1140979.5,04:18,12:59,8.7,04:18,12:30,8.2,0.5,0.0667,5.0,3,0,0.0595,0.0,0.1312,6.5,4,1,0.0774,0.0909,0.1638,4.0,0,1,0.0476,0.0909,0.1549,5.5,3,1,0.0655,0.0909,0.1603,5.0,2,0,0.0595,0.0,0.1312,4.0,0,0,0.0476,0.0,0.1276,4.5,1,0,0.0536,0.0,0.1294
Allaman,8501035,46.47576,6.399683,2524205.6,1147176.4,04:09,11:03,6.9,04:09,09:20,5.2,0.4,0.03,5.5,0,0,0.0655,0.0,0.1056,6.0,0,0,0.0714,0.0,0.1074,6.0,0,0,0.0714,0.0,0.1074,6.0,0,0,0.0714,0.0,0.1074,6.0,0,0,0.0714,0.0,0.1074,6.0,0,0,0.0714,0.0,0.1074,6.0,0,0,0.0714,0.0,0.1074
Puidoux,8504012,46.493838,6.76568,2550906.1,1149185.4,05:03,11:44,6.7,04:55,10:13,5.3,0.0,0.0167,6.5,0,0,0.0774,0.0,0.0266,6.0,0,0,0.0714,0.0,0.0248,6.0,0,0,0.0714,0.0,0.0248,6.0,0,0,0.0714,0.0,0.0248,6.0,0,0,0.0714,0.0,0.0248,6.0,0,0,0.0714,0.0,0.0248,6.0,0,0,0.0714,0.0,0.0248
"Prangins, Les Abériaux",8595589,46.393015,6.254119,2513586.2,1137980.8,05:43,13:16,7.6,05:43,20:29,14.8,0.0,0.0167,4.0,0,0,0.0476,0.0,0.0176,5.5,0,0,0.0655,0.0,0.023,6.0,0,0,0.0714,0.0,0.0248,6.0,0,0,0.0714,0.0,0.0248,5.5,0,0,0.0655,0.0,0.023,4.0,0,0,0.0476,0.0,0.0176,4.0,0,0,0.0476,0.0,0.0176
Genève-Aéroport,8501026,46.232547,6.111969,2503216.0,1120147.7,04:58,15:55,10.9,05:14,14:14,9.0,0.7,0.0867,4.5,8,0,0.0536,0.0,0.1734,4.5,9,0,0.0536,0.0,0.1734,4.0,8,0,0.0476,0.0,0.1716,5.0,10,0,0.0595,0.0,0.1752,4.0,8,0,0.0476,0.0,0.1716,3.0,2,0,0.0357,0.0,0.1681,5.0,8,0,0.0595,0.0,0.1752
Rolle,8501033,46.462757,6.336387,2519587.9,1145731.4,04:13,14:55,10.7,04:13,13:05,8.9,0.0,0.0267,3.5,0,0,0.0417,0.0,0.0178,4.5,0,2,0.0536,0.1818,0.076,4.0,0,2,0.0476,0.1818,0.0742,4.0,0,2,0.0476,0.1818,0.0742,4.0,0,0,0.0476,0.0,0.0196,4.0,0,0,0.0476,0.0,0.0196,4.0,0,1,0.0476,0.0909,0.0469
