"nom","adresse","ville","type","E_LV95","N_LV95","lat_wgs84","lon_wgs84"
"Chapelle de Brent","1817 Brent","Brent","Chapelle","2558715","1145288","46.4576506","6.9012508"
"Paroisse catholique Villeneuve-Veytaux","Av. de Byron 1, 1844 Villeneuve","Villeneuve","Église","2560713","1139071","46.4018402","6.9277891"
"Temple de Villeneuve","Pl. du Temple, 1844 Villeneuve","Villeneuve","Temple","2560513","1138442","46.3961704","6.9252427"
"Paroisse de Villeneuve–Haut-Lac","Rue des Fortifications 17, 1844 Villeneuve","Villeneuve","Église","2560538","1138548","46.3971296","6.9255567"
"Église Évangélique Assemblée Chrétienne du Haut-Lac","Rue des Narcisses 3, 1844 Villeneuve","Villeneuve","Église évangélique","2560850","1138531","46.3969905","6.929612"
"Église de Corsier","Rte de l'Eglise 11, 1246 Corsier","Corsier","Église","2506525","1124169","46.2624334","6.2262472"
"Paroisse protestante Anières-Vésenaz","Chem. de Cortenaz 5, 1247 Anières","Anières","Temple","2506274","1125669","46.2758939","6.2226885"
"Église de Collonge-Bellerive","Rte d'Hermance 113, 1245 Collonge-Bellerive","Collonge-Bellerive","Église","2504799","1123216","46.2536212","6.2040609"
"Church of Vésenaz","Chem. des Rayes 14, 1222 Vésenaz","Vésenaz","Église","2504435","1121432","46.2375206","6.1996991"
"Paroisse protestante de Cologny Vandoeuvres Choulex","Chem. des Hauts-Crêts 17, 1223 Cologny","Cologny","Temple","2503178","1118955","46.2150661","6.1839306"
"Église Évangélique de Cologny","Rte de la Capite 114, 1253 Vandœuvres","Vandœuvres","Église évangélique","2504091","1120276","46.2270714","6.1954817"
"Temple de Cologny","Pl. Pierre-Gautier 4, 1223 Cologny","Cologny","Temple","2502968","1119090","46.2162447","6.1811773"
"Temple de Vandœuvres","Pl. de Vandoeuvres 1, 1253 Vandœuvres","Vandœuvres","Temple","2504603","1119601","46.22108","6.2022637"
"Choulex-Vandoeuvres","Rte de Choulex 186, 1244 Choulex","Choulex","Église","2506494","1120367","46.228232","6.226608"
"Église Satigny","Rte de la Gare-de-Satigny 17, 1242 Satigny","Satigny","Église","2491708","1118978","46.2135197","6.035312"
"Paroisse protestante du Mandement","Rte de Champvigny 51, 1242 Satigny","Satigny","Temple","2491406","1119485","46.2180272","6.0312742"
"Temple de Savigny","Chem. de l'Église, 1073 Savigny","Savigny","Temple","2545875","1154280","46.5376192","6.733074"
"Église de Forel","Rte de Vevey 1, 1072 Forel","Forel","Église","2548704","1154651","46.5411739","6.7699088"
