stop_name,lat_wgs84,lon_wgs84,station_id,gtfs_stop_ids
Vevey Vignerons,46.469083,6.852822,,8502476
Prélaz-sur-Blonay,46.467792,6.897887,,8501282
Tusinge,46.47385,6.89625,,8501283
Les Chevalleyres,46.47559,6.89812,,8501284
Bois-de-Chexbres,46.47328,6.90153,,8530261
Fayaux,46.46998,6.90763,,8501285
Ondallaz-L'Alliaz,46.47316,6.91396,,8501286
Lally,46.47921,6.91403,,8501287
Les Pléiades,46.48336,6.90994,,8501288
Bulle,46.619225,7.053002,,8504086:7
Vuadens-Sud,46.61796,7.02017,,8504066:1
Vaulruz-Sud,46.61921,6.98997,,8504065
La Verrerie,46.58752,6.92488,,8504064
Semsales,46.57335,6.92693,,8504063
Châtel-St-Denis,46.527806,6.895796,,8504062:2
Remaufens,46.523739,6.876514,,8504061:1
Bossonnens,46.525704,6.853242,,8504060:1
La Tour-de-Trême Ronclina,46.60562,7.06144,,8504079:1
Le Pâquier-Montbarry,46.59468,7.05969,,8504078:1
Gruyères,46.58261,7.07325,,8504077:2
Enney,46.5654,7.08524,,8504075:1
Villars-sous-Mont,46.5438,7.07294,,8504074:
Neirivue,46.52829,7.06156,,8504073:1
Albeuve,46.51793,7.05542,,8504072:1
Lessoc,46.50738,7.05255,,8504071:
Montbovon,46.485426,7.04214,,8504070:3
Echallens,46.63951,6.63254,,8501173:1
Assens,46.61315,6.62053,,8501172:1
Etagnières,46.602674,6.61463,,8501171:1
Les Ripes,46.59219,6.60806,,8587727:2
Cheseaux,46.58435,6.60596,,8501169:2
Bel-Air LEB,46.57868,6.60553,,8501170:1
Vernand-Camarès,46.57094,6.6048,,8501168:1
Romanel-sur-Lausanne,46.56247,6.60317,,8501166:1
Jouxtens-Mézery,46.54834,6.60169,,8501165:1
Cery-Fleur-de-Lys,46.54458,6.60501,,8501164:1
Prilly-Chasseur,46.53965,6.60743,,8501163:1
Union-Prilly,46.53472,6.60985,,8501162:1
Lausanne-Chauderon,46.52323,6.62606,,8501160:1
Grésaley,46.643253,6.64217,,8501178:1
Sur Roche,46.64045,6.63892,,8501174:1
Flendruz,46.48209,7.18607,,8501396
Les Combes,46.47747,7.17183,,8501388
Les Granges-Gérignoz,46.474165,7.15495,,8501395
Château-d'Oex La Palaz,46.4759,7.143834,,8501198
Château-d'Oex,46.47467,7.13141,,8501394:1
La Chaudanne-Les Moulins,46.466052,7.096735,,8501393
Rossinière,46.46481,7.08324,,8501392
La Tine,46.46717,7.04657,,8501391
Les Sciernes,46.49146,7.03422,,8501379:2
Allières,46.46982,7.00789,,8501378
Les Cases,46.45592,6.99771,,8501387
Jor,46.45467,6.96512,,8501386
Les Avants,46.453626,6.943475,,8501377
Sendy-Sollard,46.447107,6.930133,,8501385
Chamby,46.449322,6.913514,,8501376
Sonzier,46.439314,6.921475,,8501384
Chernex,46.44592,6.91008,,8501375
