zone_name,lat_wgs84,lon_wgs84,E_LV95,N_LV95,UHI_category,UHI_intensity_score,description,land_use_type,population,density_per_km2,impervious_surface_pct,green_cover_pct
Gilly,46.462209,6.300856,2512600,1146287,LOW,1,"Rural/village (186/km2), minimal UHI.",Rural,1441,186,<15%,>75%
Dully,46.420388,6.287917,2511538,1141653,LOW,1,"Rural/village (108/km2), minimal UHI.",Rural,620,108,<15%,>75%
Tartegnin,46.469729,6.311571,2513435,1147111,LOW,1,"Low-density residential (216/km2), weak UHI.",Village,235,216,15-30%,60-75%
Essertines-sur-Rolle,46.483628,6.31248,2513527,1148655,LOW,1,"Rural/village (113/km2), minimal UHI.",Rural,785,113,<15%,>75%
Bursinel,46.440994,6.308862,2513181,1143920,LOW,1,"Rural/village (69/km2), minimal UHI.",Rural,532,69,<15%,>75%
Rolle,46.457583,6.331688,2514961,1145739,LOW,1,"Low-density residential (484/km2), weak UHI.",Residential,6540,484,15-30%,60-75%
Bougy-Villars,46.483687,6.350808,2516470,1148620,LOW,1,"Low-density residential (290/km2), weak UHI.",Village,514,290,15-30%,60-75%
Aubonne,46.496381,6.367893,2517801,1150013,LOW,1,"Low-density residential (269/km2), weak UHI.",Village,3856,269,15-30%,60-75%
Perroy,46.470182,6.359113,2517087,1147110,LOW,1,"Rural/village (98/km2), minimal UHI.",Rural,1584,98,<15%,>75%
Fechy,46.47883,6.372745,2518147,1148057,LOW,1,"Low-density residential (342/km2), weak UHI.",Village,923,342,15-30%,60-75%
Saint-Livres,46.518078,6.380118,2518772,1152412,LOW,1,"Rural/village (88/km2), minimal UHI.",Rural,715,88,<15%,>75%
Allaman,46.470057,6.393881,2519757,1147060,LOW,1,"Rural/village (37/km2), minimal UHI.",Rural,430,37,<15%,>75%
Yens,46.527031,6.406689,2520824,1153380,LOW,1,"Rural/village (158/km2), minimal UHI.",Rural,1498,158,<15%,>75%
Lavigny,46.50055,6.408093,2520893,1150435,LOW,1,"Low-density residential (275/km2), weak UHI.",Village,1099,275,15-30%,60-75%
Buchillon,46.467003,6.411139,2521078,1146703,LOW,1,"Rural/village (33/km2), minimal UHI.",Rural,686,33,<15%,>75%
Villars-sous-Yens,46.506946,6.430121,2522593,1151124,LOW,1,"Rural/village (198/km2), minimal UHI.",Rural,602,198,<15%,>75%
Lussy-sur-Morges,46.500995,6.448106,2523965,1150445,LOW,1,"Low-density residential (307/km2), weak UHI.",Village,719,307,15-30%,60-75%
Denens,46.517426,6.452628,2524335,1152267,LOW,1,"Low-density residential (225/km2), weak UHI.",Village,742,225,15-30%,60-75%
