rank,title,url,organization,relevance_score,spatial_score,name_match_score,thematic_score,usability_score,matched_places,matched_themes,formats,zurich_relevant,description
3168,Production et consommation totales d'énergie électrique en Suisse,https://opendata.swiss/en/dataset/gesamte-erzeugung-und-abgabe-elektrischer-energie-in-der-schweiz,Office fédéral de l'énergie OFEN,22.94,30.0,0.0,43.75,20.0,,energy,SERVICE,False,"Ce relevé recense sur une base mensuelle la production, l'importation, l'exportation et la consommation d'électricité en Suisse. Il présente la production hydraulique (centrales au fil de l'eau/centra"
3169,,https://opendata.swiss/en/dataset/greenland-shrubs-and-microclimate,EnviDat: le portail de données environnementales,22.94,30.0,0.0,43.75,20.0,,"noise_environment, public_space",SERVICE,False,
3170,La qualité de l'emploi en Suisse de 2008 à 2018,https://opendata.swiss/en/dataset/qualitat-der-beschaftigung-in-der-schweiz-2008-2018,Office fédéral de la statistique OFS,22.88,30.0,0.0,37.5,30.0,,population,"HTML, PDF",False,
3171,Formes d'emploi atypiques 2010-2020,https://opendata.swiss/en/dataset/atypische-beschaftigungsformen-2010-2020,Office fédéral de la statistique OFS,22.88,30.0,0.0,37.5,30.0,,population,"HTML, PDF",False,
3172,L'économie culturelle en Suisse,https://opendata.swiss/en/dataset/die-kulturwirtschaft-in-der-schweiz,Office fédéral de la statistique OFS,22.88,30.0,0.0,37.5,30.0,,"population, public_space","HTML, PDF",False,
3173,Qualité de vie dans les villes et agglomérations (agglo 2012): revenu et travail,https://opendata.swiss/en/dataset/lebensqualitat-in-den-stadten-und-agglomerationen-agglo-2012-einkommen-und-arbeit7,Office fédéral de la statistique OFS,22.88,30.0,0.0,37.5,30.0,,population,"HTML, SERVICE",False,"Ce dataset présente des indicateurs concernant les taux d'activité, les taux d'emplois, les taux de chômage et les taux d'aide sociale selon le sexe dans les villes et agglomérations selon la définiti"
3174,Divorces,https://opendata.swiss/en/dataset/scheidungen,Office fédéral de la statistique OFS,22.88,30.0,0.0,37.5,30.0,,"population, public_space","HTML, PDF",False,"Par rapport à la version du Démos 1/2020 publiée le 25 juin 2020, nous avons supprimé la phrase «Les hommes divorcés se remarient plus fréquemment que les femmes divorcées, conséquence de la difficult"
3175,Statistique de la démographie des entreprises (UDEMO),https://opendata.swiss/en/dataset/statistik-der-unternehmensdemografie-udemo,Office fédéral de la statistique OFS,22.88,30.0,0.0,37.5,30.0,,"population, transport","HTML, PDF",False,
3176,Statistiques des villes suisses 2022,https://opendata.swiss/en/dataset/statistik-der-schweizer-stadte-2022,Office fédéral de la statistique OFS,22.88,30.0,0.0,37.5,30.0,,"coworking, transport","HTML, PDF",False,"Dans l’édition 2022 de «Statistiques des villes suisses», nous nous proposons de jeter un regard plus précis sur l’utilisation du sol dans les villes suisses à l’aide de la statistique de la superfici"
3177,La culture comme monde du travail,https://opendata.swiss/en/dataset/die-kultur-als-arbeitswelt,Office fédéral de la statistique OFS,22.88,30.0,0.0,37.5,30.0,,"population, public_space","HTML, PDF",False,
3178,,https://opendata.swiss/en/dataset/items-from-the-collections-of-the-historical-museum-basel,Canton de Bâle-Ville,22.88,30.0,0.0,37.5,30.0,,"public_space, tourism_heritage",HTML,False,
3179,SA4 - Stratégie mobilité,https://opendata.swiss/en/dataset/sa4-strategie-mobilite,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,transport,API,False,"Le Projet d'agglomération de quatrième génération (PA4) Grand Genève synthétise sa stratégie de mobilité au moyen d'une carte de ""Stratégies multimodale"". Cette carte situe les réseaux et interfaces s"
3180,Zones de tensions négligeables,https://opendata.swiss/en/dataset/zones-de-tensions-negligeables,Geoinformation Canton Fribourg,22.81,30.0,10.0,31.25,20.0,la pra,urban_planning,SERVICE,False,"La couche zones de tension négligeable est une couche technique de la mensuration officielle. Dans le cadre des travaux de terrain réalisés pour la mensuration officielle, un ajustage local doit systé"
3181,MNA Relief Ombre Terrain 2000,https://opendata.swiss/en/dataset/mna-relief-ombre-terrain-2000,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le MNT ""relief ombré"" 2000 est une représentation permettant une perception visuelle immédiate de la topographie du terrain. Il est généré à partir du MNT et simule un éclairage hypothétique de la scè"
3182,Mna Relief Ombre Terrain 2013 (Pixel 0.5 M),https://opendata.swiss/en/dataset/mna-relief-ombre-terrain-2013-pixel-0-5-m,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le MNT ""relief ombré"" 2013 est une représentation permettant une perception visuelle immédiate de la topographie du terrain. Il est généré à partir du MNT et simule un éclairage hypothétique de la scè"
3183,Mna Relief Ombre Terrain 2009 (Pixel 1.0 M),https://opendata.swiss/en/dataset/mna-relief-ombre-terrain-2009-pixel-1-0-m,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le MNT ""relief ombré"" 2009 est une représentation permettant une perception visuelle immédiate de la topographie du terrain. Il est généré à partir du MNT et simule un éclairage hypothétique de la scè"
3184,MNA Relief Ombre Surface 2000,https://opendata.swiss/en/dataset/mna-relief-ombre-surface-2000,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le MNS ""relief ombré"" 2000 est une représentation permettant une perception visuelle immédiate de la surface du territoire incluant les bâtiments et la végétation. Il est généré à partir du MNS et sim"
3185,Mna Relief Ombre Surface 2009,https://opendata.swiss/en/dataset/mna-relief-ombre-surface-2009,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le MNS ""relief ombré"" 2009 est une représentation permettant une perception visuelle immédiate de la surface du territoire incluant les bâtiments et la végétation. Il est généré à partir du MNS et sim"
3186,Mna Relief Ombre Surface 2013 (Pixel 50 Cm),https://opendata.swiss/en/dataset/mna-relief-ombre-surface-2013-pixel-50-cm,Canton de Genève,22.81,30.0,10.0,31.25,20.0,genève,safety,API,False,"Le MNS ""relief ombré"" 2013 est une représentation permettant une perception visuelle immédiate de la surface du territoire incluant les bâtiments et la végétation. Il est généré à partir du MNS et sim"
