station_id,name,lat_wgs84,lon_wgs84,provider_id,address,capacity,vehicle_types,is_virtual
donkey_ge:18589,Sablons,46.200817,6.137622,donkey_ge,,6,,False
donkey_ge:30697,Rue Caroline 11,46.1915,6.138703,donkey_ge,,2,,False
donkey_ge:26772,P+R Etoile (Pôle de Mobilité),46.187428,6.1279697,donkey_ge,", ",6,,False
donkey_ge:18406,Rive,46.20144,6.1530623,donkey_ge,", ",20,,False
donkey_ge:22379,Grand-Lancy 112,46.181087,6.1142488,donkey_ge,,5,,False
donkey_ge:18403,Carrefour Bachet,46.17418,6.1284356,donkey_ge,,12,,False
donkey_ge:26784,Lancy-Bachet-Gare (Pôle de Mobilité),46.173973,6.129953,donkey_ge,,17,,False
donkey_ge:30074,Rue Eugène-Marziano 22,46.19393,6.128445,donkey_ge,,3,,False
donkey_ge:27946,Crèche Bellevue,46.255615,6.1516757,donkey_ge,,4,,False
donkey_ge:22227,Coulouvrenière,46.203896,6.1380224,donkey_ge,,6,,False
donkey_ge:21901,Plantaporrêts 4,46.202457,6.1315327,donkey_ge,", ",5,,False
donkey_ge:18467,Augustins,46.191193,6.1443787,donkey_ge,,5,,False
donkey_ge:22363,La Turbine,46.203915,6.1369486,donkey_ge,,4,,False
donkey_ge:18397,Gare Lancy Pont-Rouge,46.187714,6.1270084,donkey_ge,", ",20,,False
donkey_ge:22245,Eugène-Marziano,46.190765,6.134086,donkey_ge,,2,,False
donkey_ge:18597,Village-Suisse,46.198967,6.1345086,donkey_ge,,6,,False
donkey_ge:21460,Route des Jeunes,46.192745,6.128456,donkey_ge,,4,,False
donkey_ge:18518,Krieg,46.195545,6.163336,donkey_ge,,5,,False
donkey_ge:22470,Chemin des Catons,46.155926,6.081516,donkey_ge,,3,,False
donkey_ge:31254,Appart'City,46.21321,6.078382,donkey_ge,,5,,False
donkey_ge:18568,Rue de la Gabelle1,46.18922,6.133389,donkey_ge,,5,,False
donkey_ge:18413,Palladium,46.203064,6.1340623,donkey_ge,,20,,False
donkey_ge:18500,Genève Cornavin,46.209354,6.142505,donkey_ge,,15,,False
donkey_ge:18546,Place du Temple 6,46.18523,6.140532,donkey_ge,,5,,False
donkey_ge:21458,Gravière,46.1969,6.129928,donkey_ge,,6,,False
donkey_ge:21856,Henri-Bordier ,46.20551,6.111432,donkey_ge,,4,,False
donkey_ge:21917,Gare de Champel,46.19169,6.153496,donkey_ge,,6,,False
donkey_ge:27920,Pregny-Mairie,46.237522,6.1414313,donkey_ge,", ",5,,False
