ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
75,Etablissement primaire et secondaire de La Tour-de-Peilz,Primaire et Secondaire,La Tour-de-Peilz,VD,Lavaux-Riviera,"Rue du Collège 6, 1814 La Tour-de-Peilz",46.453600,6.858600,2555435.10,1144861.57,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
76,Etablissement primaire et secondaire de Lutry,Primaire et Secondaire,Lutry,VD,Lavaux-Riviera,"Chemin des Pâles 57, 1095 Lutry",46.507800,6.684800,2542140.31,1151000.18,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
77,Etablissement primaire et secondaire de Montreux-Est,Primaire et Secondaire,Montreux,VD,Lavaux-Riviera,"Rue de la Gare 33, 1820 Montreux",46.435100,6.913200,2559616.18,1142775.44,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
78,Etablissement primaire et secondaire de Montreux-Ouest,Primaire et Secondaire,Clarens,VD,Lavaux-Riviera,"Chemin des Vignes 12, 1815 Clarens",46.444900,6.898900,2558524.65,1143872.31,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
79,Etablissement primaire et secondaire d'Oron - Palézieux,Primaire et Secondaire,Oron-la-Ville,VD,Lavaux-Riviera,"Route de Lausanne 10, 1610 Oron-la-Ville",46.572000,6.824000,2552880.14,1158043.43,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
83,Etablissement primaire et secondaire de Vevey,Primaire et Secondaire,Vevey,VD,Lavaux-Riviera,"Rue du Collège 30, 1800 Vevey",46.459300,6.847600,2554594.76,1145501.51,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
84,Etablissement primaire et secondaire d'Apples - Bière et environs,Primaire et Secondaire,Apples,VD,Venoge-Lac,"Chemin des Collèges 5, 1143 Apples",46.543000,6.428000,2522481.51,1155134.88,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
87,Etablissement primaire et secondaire de La Sarraz et environs,Primaire et Secondaire,La Sarraz,VD,Venoge-Lac,"Rue des Guébettes 2, 1315 La Sarraz",46.658000,6.513000,2529151.95,1167837.49,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
92,Etablissement primaire et secondaire de Préverenges et environs,Primaire et Secondaire,Préverenges,VD,Venoge-Lac,"Rue des Voiles du Léman 4, 1028 Préverenges",46.515800,6.526700,2530016.47,1152018.48,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
93,Etablissement primaire et secondaire de Saint-Prex et environs,Primaire et Secondaire,St-Prex,VD,Venoge-Lac,"Chemin du Cherrat 7, 1162 St-Prex",46.486500,6.454800,2524458.15,1148828.36,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
