ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
117,EP Bellavista / Boudines,Primaire,Petit-Lancy,GE,Canton de Genève,"Chemin des Boudines 5, 1213 Petit-Lancy",46.189500,6.117500,2498004.88,1116198.01,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
118,EP Bellevue / Genthod,Primaire,Bellevue,GE,Canton de Genève,"Chemin du Château-de-Bellevue 2, 1293 Bellevue",46.255400,6.158700,2501304.98,1123470.03,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
119,EP Bernex,Primaire,Bernex,GE,Canton de Genève,"Chemin de Luchepelet 11, 1233 Bernex",46.178500,6.073700,2494602.46,1115033.34,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
120,EP Bois-des-Arts / Adrien-Jeandin,Primaire,Thônex,GE,Canton de Genève,"Avenue Adrien-Jeandin 22, 1226 Thônex",46.200500,6.204000,2504701.55,1117311.76,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
121,EP Bois-Gourmand / Pinchat,Primaire,Carouge,GE,Canton de Genève,"Chemin de Pinchat 22, 1227 Carouge",46.180800,6.148300,2500366.56,1115191.38,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
122,EP Bon-Séjour / Ami-Argand / Montfleury,Primaire,Pregny-Chambésy,GE,Canton de Genève,"Chemin de l'Impératrice 18, 1292 Pregny-Chambésy",46.231000,6.144000,2500126.76,1120776.59,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
123,EP Bosson / Onex-Village,Primaire,Onex,GE,Canton de Genève,"Chemin du Bosson 1, 1213 Onex",46.187000,6.102000,2496803.62,1115940.43,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
124,EP Caroline / Cérésole / Morgines,Primaire,Genève,GE,Canton de Genève,"Boulevard des Philosophes 17, 1205 Genève",46.198500,6.141000,2499835.53,1117168.04,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
125,EP Cayla / Europe,Primaire,Chêne-Bourg,GE,Canton de Genève,"Avenue du Petit-Senn 16, 1225 Chêne-Bourg",46.199000,6.197000,2504158.65,1117153.57,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
126,EP Champ-Joly / Pré-du-Camp,Primaire,Plan-les-Ouates,GE,Canton de Genève,"Chemin du Champ-Joly 2, 1228 Plan-les-Ouates",46.167000,6.115000,2497769.64,1113700.40,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
127,EP Champs-Fréchets / Cointrin / Vergers,Primaire,Meyrin,GE,Canton de Genève,"Chemin des Champs-Fréchets 17, 1217 Meyrin",46.232000,6.081000,2495269.13,1120970.00,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
128,EP Charmilles / Charles-Giron / Jardins-du-Rhône,Primaire,Genève,GE,Canton de Genève,"Avenue des Charmilles 10, 1203 Genève",46.209500,6.128000,2498852.61,1118407.39,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
129,EP Chêne-Bougeries,Primaire,Chêne-Bougeries,GE,Canton de Genève,"Chemin de Grange-Falquet 7, 1224 Chêne-Bougeries",46.201000,6.187000,2503390.37,1117388.16,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
130,EP Chêne-Bourg,Primaire,Chêne-Bourg,GE,Canton de Genève,"Place Favre 1, 1225 Chêne-Bourg",46.198000,6.194000,2503925.33,1117046.09,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
131,EP Cité-Jonction / Plantaporrêts,Primaire,Genève,GE,Canton de Genève,"Boulevard de Saint-Georges 68, 1205 Genève",46.196000,6.135000,2499367.81,1116897.86,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
132,EP Collonge / Meinier / Vésenaz,Primaire,Collonge-Bellerive,GE,Canton de Genève,"Chemin de la Californie 18, 1222 Vésenaz",46.238000,6.195000,2504073.09,1121490.92,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
133,EP Confignon / Cressy,Primaire,Confignon,GE,Canton de Genève,"Chemin de l'Ecole 1, 1232 Confignon",46.177000,6.082000,2495240.42,1114855.48,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
134,EP De-Budé / Crêts / Genêts,Primaire,Genève,GE,Canton de Genève,"Rue de-Budé 16, 1202 Genève",46.219000,6.153000,2500799.11,1119431.35,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
135,EP De-Livron / Golette,Primaire,Meyrin,GE,Canton de Genève,"Chemin de la Golette 10, 1217 Meyrin",46.229000,6.076000,2494877.66,1120643.25,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
136,EP Pont-Rouge / En Sauvy,Primaire,Carouge,GE,Canton de Genève,"Route des Acacias 55, 1227 Carouge",46.190000,6.135000,2499356.71,1116230.96,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
137,EP Etang / Balexert / Bourquin / Châtelaine,Primaire,Vernier,GE,Canton de Genève,"Avenue de Châtelaine 52, 1203 Genève",46.212000,6.112000,2497622.65,1118706.05,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
138,EP Ferdinand-Hodler / Micheli-du-Crest / St-Antoine,Primaire,Genève,GE,Canton de Genève,"Rue Ferdinand-Hodler 15, 1207 Genève",46.201000,6.153000,2500766.28,1117430.65,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
139,EP Franchises / Liotard / Vieusseux,Primaire,Genève,GE,Canton de Genève,"Avenue des Franchises 28, 1203 Genève",46.211000,6.124000,2498546.74,1118579.29,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
140,EP Geisendorf,Primaire,Genève,GE,Canton de Genève,"Rue Geisendorf 10, 1203 Genève",46.215000,6.135000,2499402.95,1119009.70,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
141,EP Grand-Saconnex / Pregny-Chambésy,Primaire,Grand-Saconnex,GE,Canton de Genève,"Chemin de l'Ecole 2, 1218 Grand-Saconnex",46.233000,6.125000,2498664.90,1121023.29,DIP Genève - edu.ge.ch/primaire,Non - Géocodage adresse
