ID,Nom,Type,Commune,Canton,Region,Adresse,lat_wgs84,lon_wgs84,E_LV95,N_LV95,Source,Statut_Coordonnees
46,Etablissement secondaire de Coppet - Terre-Sainte,Secondaire,Coppet,VD,La Dôle,"Route de Founex 31, 1296 Coppet",46.322600,6.187100,2503613.99,1130903.98,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
47,Etablissement primaire et secondaire de Crassier - Elisabeth de Portes,Primaire et Secondaire,Crassier,VD,La Dôle,"Rue de la Tour 55, 1263 Crassier",46.379000,6.170000,2502398.68,1137194.04,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
48,Etablissement primaire et secondaire de Genolier et environs,Primaire et Secondaire,Genolier,VD,La Dôle,"Chemin de la Brégentenaz 11, 1272 Genolier",46.435000,6.234000,2507417.75,1143340.83,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
49,Etablissement primaire de Gimel - Etoy,Primaire,Etoy,VD,La Dôle,"Chemin des Communaux 1, 1163 Etoy",46.483000,6.423100,2522019.23,1148470.38,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
50,Etablissement secondaire de Gland - Grand-Champ,Secondaire,Gland,VD,La Dôle,"Rue du Collège , 1196 Gland",46.421900,6.259800,2509378.53,1141854.57,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
51,Etablissement primaire de Gland,Primaire,Gland,VD,La Dôle,"Chemin de la Perroude 1, 1196 Gland",46.424900,6.260900,2509468.10,1142186.76,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
52,Etablissement secondaire de Nyon - Marens,Secondaire,Nyon,VD,La Dôle,"Route du Stand 5, 1260 Nyon",46.382200,6.226000,2506712.12,1137481.51,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
53,Etablissement primaire de Nyon Jura et Prangins,Primaire,Nyon,VD,La Dôle,"Chemin de Précossy 6, 1260 Nyon",46.389700,6.225300,2506671.18,1138315.98,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
54,Etablissement primaire de Nyon Léman,Primaire,Nyon,VD,La Dôle,"Chemin de Prélaz 5, 1260 Nyon",46.387600,6.237000,2507567.48,1138068.69,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
55,Etablissement primaire de Rolle - Cœur de la Côte,Primaire,Rolle,VD,La Dôle,"Avenue Général-Guisan 23, 1180 Rolle",46.458000,6.332700,2515038.86,1145785.52,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
56,Etablissement primaire et secondaire de Rolle,Primaire et Secondaire,Rolle,VD,La Dôle,"Avenue Général-Guisan 23, 1180 Rolle",46.458000,6.332700,2515038.86,1145785.52,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
57,Etablissement primaire de Lausanne - Beaulieu,Primaire,Lausanne,VD,Lausanne,"Avenue des Bergières 17, 1004 Lausanne",46.527800,6.623600,2537466.31,1153270.42,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
58,Etablissement primaire et secondaire Lausanne - Belvédère,Primaire et Secondaire,Lausanne,VD,Lausanne,"Chemin des Croix-Rouges 24, 1007 Lausanne",46.520100,6.619500,2537142.80,1152417.77,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
59,Etablissement primaire et secondaire de Lausanne - Bergières,Primaire et Secondaire,Lausanne,VD,Lausanne,"Avenue des Bergières 44, 1004 Lausanne",46.531800,6.621700,2537325.17,1153716.57,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
60,Etablissement primaire et secondaire de Lausanne - Béthusy,Primaire et Secondaire,Lausanne,VD,Lausanne,"Avenue de Béthusy 7, 1005 Lausanne",46.521700,6.642900,2538940.15,1152577.11,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
61,Etablissement primaire et secondaire de Lausanne - CF Ramuz,Primaire et Secondaire,Lausanne,VD,Lausanne,"Chemin d'Entre-Bois 13b, 1018 Lausanne",46.537100,6.630900,2538037.04,1154298.40,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
62,Etablissement primaire de Lausanne - Coteau Fleuri,Primaire,Lausanne,VD,Lausanne,"Chemin de la Grangette 77, 1010 Lausanne",46.536100,6.660000,2540268.17,1154164.63,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
63,Etablissement primaire de Lausanne - Entre-Bois,Primaire,Lausanne,VD,Lausanne,"Chemin d'Entre-Bois 13b, 1018 Lausanne",46.537100,6.630900,2538037.04,1154298.40,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
64,Etablissement primaire de Lausanne - Floréal,Primaire,Lausanne,VD,Lausanne,"Avenue de Cour 14, 1007 Lausanne",46.512900,6.623600,2537449.07,1151614.14,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
65,Etablissement primaire et secondaire Lausanne - I.-de-Montolieu,Primaire et Secondaire,Lausanne,VD,Lausanne,"Chemin des Abeilles 11, 1010 Lausanne",46.541000,6.647000,2539276.43,1154719.31,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
66,Etablissement primaire de Lausanne - La Sallaz,Primaire,Lausanne,VD,Lausanne,"Avenue de la Sallaz 38, 1010 Lausanne",46.530100,6.645600,2539156.78,1153508.76,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
67,Etablissement primaire et secondaire de Lausanne - L'Elysée,Primaire et Secondaire,Lausanne,VD,Lausanne,"Avenue de l'Elysée 6, 1006 Lausanne",46.510200,6.631800,2538075.27,1151307.50,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
68,Etablissement primaire de Lausanne - Mon-Repos,Primaire,Lausanne,VD,Lausanne,"Avenue de Béthusy 12, 1005 Lausanne",46.520800,6.641500,2538831.71,1152478.16,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
69,Etablissement primaire de Lausanne - Pierrefleur,Primaire,Lausanne,VD,Lausanne,"Chemin du Boisy 8, 1004 Lausanne",46.533400,6.617000,2536966.47,1153898.20,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
70,Etablissement primaire de Lausanne - Prélaz,Primaire,Lausanne,VD,Lausanne,"Chemin de Renens 1, 1004 Lausanne",46.526700,6.615900,2536874.27,1153154.32,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
71,Etablissement primaire et secondaire de Lausanne - Villamont,Primaire et Secondaire,Lausanne,VD,Lausanne,"Chemin des Magnolias 6, 1005 Lausanne",46.518900,6.638400,2538591.69,1152269.39,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
72,Etablissement primaire et secondaire de Blonay - Saint-Légier,Primaire et Secondaire,Blonay,VD,Lavaux-Riviera,"Chemin de Bahyse 14, 1807 Blonay",46.466600,6.896200,2558333.90,1146285.97,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
73,Etablissement primaire et secondaire de centre Lavaux,Primaire et Secondaire,Puidoux,VD,Lavaux-Riviera,"Route du Verney 22, 1070 Puidoux",46.492400,6.766500,2548396.19,1149231.20,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
74,Etablissement primaire et secondaire de Corsier-sur-Vevey et environs,Primaire et Secondaire,Corsier-sur-Vevey,VD,Lavaux-Riviera,"Rue du Collège 7, 1804 Corsier-sur-Vevey",46.471300,6.845300,2554428.18,1146836.79,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
75,Etablissement primaire et secondaire de La Tour-de-Peilz,Primaire et Secondaire,La Tour-de-Peilz,VD,Lavaux-Riviera,"Rue du Collège 6, 1814 La Tour-de-Peilz",46.453600,6.858600,2555435.10,1144861.57,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
76,Etablissement primaire et secondaire de Lutry,Primaire et Secondaire,Lutry,VD,Lavaux-Riviera,"Chemin des Pâles 57, 1095 Lutry",46.507800,6.684800,2542140.31,1151000.18,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
77,Etablissement primaire et secondaire de Montreux-Est,Primaire et Secondaire,Montreux,VD,Lavaux-Riviera,"Rue de la Gare 33, 1820 Montreux",46.435100,6.913200,2559616.18,1142775.44,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
78,Etablissement primaire et secondaire de Montreux-Ouest,Primaire et Secondaire,Clarens,VD,Lavaux-Riviera,"Chemin des Vignes 12, 1815 Clarens",46.444900,6.898900,2558524.65,1143872.31,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
79,Etablissement primaire et secondaire d'Oron - Palézieux,Primaire et Secondaire,Oron-la-Ville,VD,Lavaux-Riviera,"Route de Lausanne 10, 1610 Oron-la-Ville",46.572000,6.824000,2552880.14,1158043.43,DGEO Annuaire 2025-2026 (vd.ch),Oui - OSM/NPA
80,Etablissement primaire de Pully - Paudex - Belmont,Primaire,Pully,VD,Lavaux-Riviera,"Avenue C.F. Ramuz 43, 1009 Pully",46.509300,6.650200,2539486.41,1151193.07,DGEO Annuaire 2025-2026 (vd.ch),Oui - Google Places
