code,uic,name,canton,infrastructure_manager,year,daily_avg,workday_avg,nonworkday_avg,commuter_index,transport_companies,lat_wgs84,lon_wgs84,remarks_de
CHAU,8501393.0,La Chaudanne-Les Moulins,VD,MOB,2024,49.0,49.0,49.0,1.0,MOB,46.46605207107037,7.096734699534454,49: weniger als 50 Ein- und Aussteigende.
PERC,8501368.0,La Perche,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.43639999441905,6.97509999688305,49: weniger als 50 Ein- und Aussteigende.
RCY,8501155.0,Le Rocheray,VD,TRAVYS,2024,49.0,49.0,50.0,0.98,SBB,46.62445724420983,6.250263659575705,49: weniger als 50 Ein- und Aussteigende.
BCHX,8530261.0,Bois-de-Chexbres,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.47327999986844,6.901529994631869,49: weniger als 50 Ein- und Aussteigende.
BEMM,8501390.0,Belmont-sur-Montreux,VD,MOB,2024,49.0,49.0,49.0,1.0,MOB,46.44203999795778,6.906119994693679,49: weniger als 50 Ein- und Aussteigende.
COMS,8501388.0,Les Combes,VD,MOB,2024,49.0,49.0,49.0,1.0,MOB,46.477470000670024,7.1718299957100795,49: weniger als 50 Ein- und Aussteigende.
EDR,8501154.0,Les Esserts-de-Rive,VD,TRAVYS,2024,49.0,49.0,49.0,1.0,SBB,46.63198425635682,6.260368353724561,49: weniger als 50 Ein- und Aussteigende.
FAY,8501285.0,Fayaux,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.46997999961394,6.907630005853654,49: weniger als 50 Ein- und Aussteigende.
PLAC,8501383.0,Planchamp,VD,MOB,2024,49.0,49.0,49.0,1.0,MOB,46.45117999711551,6.901000001365848,49: weniger als 50 Ein- und Aussteigende.
PRLZ,8501282.0,Prélaz-sur-Blonay,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.46881999528544,6.8979299967850976,49: weniger als 50 Ein- und Aussteigende.
CHAL,8501382.0,Châtelard VD,VD,MOB,2024,49.0,49.0,49.0,1.0,MOB,46.44677999986221,6.901139995745103,49: weniger als 50 Ein- und Aussteigende.
OND,8501286.0,Ondallaz-L'Alliaz,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.473159995180886,6.913960000840379,49: weniger als 50 Ein- und Aussteigende.
HEN,8504141.0,Henniez,VD,SBB,2024,49.0,50.0,49.0,1.02,SBB,46.73500140626439,6.87010587846571,
VALM,8501362.0,Valmont,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.42854999651572,6.929299994815231,49: weniger als 50 Ein- und Aussteigende.
OR,8504020.0,Oron,VD,SBB,2024,49.0,49.0,49.0,1.0,SBB,46.57254560973378,6.837104144003912,49: weniger als 50 Ein- und Aussteigende.
VUAR,8501381.0,Vuarennes,VD,MOB,2024,49.0,49.0,49.0,1.0,MOB,46.439120002303056,6.910970001834298,49: weniger als 50 Ein- und Aussteigende.
JOR,8501386.0,Jor,VD,MOB,2024,49.0,49.0,49.0,1.0,MOB,46.45467000154823,6.965120006203416,49: weniger als 50 Ein- und Aussteigende.
CRDB,8501365.0,Crêt-d'y-Bau,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.43514999895173,6.9553700014107545,49: weniger als 50 Ein- und Aussteigende.
ECTS,8501364.0,Les Echets,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.432179995320055,6.94489000573515,49: weniger als 50 Ein- und Aussteigende.
PACC,8501366.0,Paccot,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.4377599951408,6.962689997349655,49: weniger als 50 Ein- und Aussteigende.
GLCO,8501308.0,Glion-Collège,VD,MVR,2024,49.0,49.0,49.0,1.0,MVR,46.4347803266588,6.928736778260191,49: weniger als 50 Ein- und Aussteigende.
SEC,8501152.0,Le Séchey,VD,TRAVYS,2024,49.0,49.0,49.0,1.0,SBB,46.65847612898224,6.306011996084794,49: weniger als 50 Ein- und Aussteigende.
EDR,8501154.0,Esserts-de-Rive,VD,TRAVYS,2018,49.0,49.0,49.0,1.0,TRAVYS,46.63198425635682,6.260368353724561,49: weniger als 50 Ein- und Aussteigende.
SEC,8501152.0,Séchey,VD,TRAVYS,2018,49.0,49.0,49.0,1.0,TRAVYS,46.65847612898224,6.306011996084794,49: weniger als 50 Ein- und Aussteigende.
