station_name,station_id,lat_wgs84,lon_wgs84,slot,date,window,departures,trains_per_hour,ic_ir,regional,categories
Lancy-Pont-Rouge,8516155,46.18596,6.124929,early_morning,2026-03-02,05:00-07:00,18,9.0,0,18,"{""R"": 14, ""RE"": 4}"
Palézieux,8504014,46.542766,6.83786,early_morning,2026-03-02,05:00-07:00,21,10.5,3,18,"{""R"": 11, ""S"": 7, ""IR"": 3}"
"Aubonne, gare",8501870,46.493844,6.39294,early_morning,2026-03-02,05:00-07:00,12,6.0,0,0,"{""B"": 12}"
Coppet,8501023,46.317405,6.187806,early_morning,2026-03-02,05:00-07:00,15,7.5,0,15,"{""R"": 8, ""RE"": 7}"
Bussigny,8501117,46.547597,6.551814,early_morning,2026-03-02,05:00-07:00,18,9.0,0,18,"{""R"": 18}"
Prilly-Malley,8518452,46.526697,6.602624,early_morning,2026-03-02,05:00-07:00,18,9.0,0,18,"{""R"": 18}"
Cully,8501124,46.488565,6.727141,early_morning,2026-03-02,05:00-07:00,17,8.5,0,17,"{""R"": 17}"
"Begnins, poste",8501851,46.440225,6.247701,early_morning,2026-03-02,05:00-07:00,10,5.0,0,0,"{""B"": 10}"
Genève-Sécheron,8516283,46.222452,6.144542,early_morning,2026-03-02,05:00-07:00,14,7.0,0,14,"{""R"": 14}"
Genthod-Bellevue,8501021,46.256747,6.153947,early_morning,2026-03-02,05:00-07:00,14,7.0,0,14,"{""R"": 14}"
Versoix,8501022,46.279741,6.165718,early_morning,2026-03-02,05:00-07:00,14,7.0,0,14,"{""R"": 14}"
Tannay,8501015,46.307659,6.181097,early_morning,2026-03-02,05:00-07:00,14,7.0,0,14,"{""R"": 14}"
Mies,8501014,46.298503,6.167641,early_morning,2026-03-02,05:00-07:00,14,7.0,0,14,"{""R"": 14}"
Villeneuve VD,8501303,46.398369,6.926992,early_morning,2026-03-02,05:00-07:00,10,5.0,0,10,"{""R"": 7, ""RE"": 3}"
Bex,8501402,46.251462,7.000653,early_morning,2026-03-02,05:00-07:00,13,6.5,5,8,"{""IR"": 5, ""R"": 5, ""RE"": 3}"
Gland,8501031,46.419998,6.269128,early_morning,2026-03-02,05:00-07:00,10,5.0,3,7,"{""IR"": 3, ""RE"": 7}"
Allaman,8501035,46.47576,6.399683,early_morning,2026-03-02,05:00-07:00,11,5.5,0,11,"{""R"": 4, ""RE"": 7}"
Puidoux,8504012,46.493838,6.76568,early_morning,2026-03-02,05:00-07:00,13,6.5,0,13,"{""S"": 5, ""R"": 8}"
"Prangins, Les Abériaux",8595589,46.393015,6.254119,early_morning,2026-03-02,05:00-07:00,8,4.0,0,0,"{""B"": 8}"
Genève-Aéroport,8501026,46.232547,6.111969,early_morning,2026-03-02,05:00-07:00,9,4.5,8,1,"{""IR"": 6, ""IC"": 2, ""RE"": 1}"
Rolle,8501033,46.462757,6.336387,early_morning,2026-03-02,05:00-07:00,7,3.5,0,7,"{""RE"": 7}"
Grandvaux,8504011,46.496948,6.722641,early_morning,2026-03-02,05:00-07:00,7,3.5,0,7,"{""S"": 3, ""R"": 4}"
St-Prex,8501036,46.482324,6.455897,early_morning,2026-03-02,05:00-07:00,8,4.0,0,8,"{""R"": 8}"
Lonay-Préverenges,8501048,46.523141,6.519527,early_morning,2026-03-02,05:00-07:00,8,4.0,0,8,"{""R"": 8}"
Lausanne-Flon,8501181,46.520798,6.63033,early_morning,2026-03-02,05:00-07:00,6,3.0,0,6,"{""R"": 6}"
La Conversion,8504010,46.513087,6.678307,early_morning,2026-03-02,05:00-07:00,8,4.0,0,8,"{""S"": 4, ""R"": 4}"
La Tour-de-Peilz,8501201,46.455457,6.859523,early_morning,2026-03-02,05:00-07:00,8,4.0,0,8,"{""R"": 8}"
Burier,8501202,46.447889,6.877108,early_morning,2026-03-02,05:00-07:00,8,4.0,0,8,"{""R"": 8}"
Clarens,8501203,46.442736,6.895771,early_morning,2026-03-02,05:00-07:00,8,4.0,0,8,"{""R"": 8}"
"Founex, est",8588666,46.334766,6.19494,early_morning,2026-03-02,05:00-07:00,8,4.0,0,0,"{""B"": 8}"
Rivaz,8501126,46.474211,6.784583,early_morning,2026-03-02,05:00-07:00,6,3.0,0,6,"{""R"": 6}"
"Perroy, Couronnette",8570039,46.463879,6.352911,early_morning,2026-03-02,05:00-07:00,3,1.5,0,0,"{""B"": 3}"
Epesses,8501125,46.489333,6.745157,early_morning,2026-03-02,05:00-07:00,6,3.0,0,6,"{""R"": 6}"
Denges-Echandens,8501045,46.529129,6.54049,early_morning,2026-03-02,05:00-07:00,4,2.0,0,4,"{""R"": 4}"
Bossière,8504003,46.509753,6.699305,early_morning,2026-03-02,05:00-07:00,4,2.0,0,4,"{""S"": 4}"
Territet,8501301,46.426381,6.922695,early_morning,2026-03-02,05:00-07:00,4,2.0,0,4,"{""R"": 4}"
"St-Saphorin (Lavaux), gare",8510135,46.472696,6.79809,early_morning,2026-03-02,05:00-07:00,0,0.0,0,0,{}
