E_LV95,N_LV95,espece,art_nest,nat_nest,p_nat_nest,localisati,detail_loc,remarques,categorie_type,categorie_label
2536933,1153827,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537085,1154087,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537065,1154089,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536951,1153530,Martinet noir,2,0,0,,,,nichoir_artificiel,Nichoir artificiel
2537529,1151601,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537497,1151576,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537701,1151539,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537736,1151628,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536354,1152542,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537155,1152146,Martinet noir,2,0,0,,,,nichoir_artificiel,Nichoir artificiel
2536696,1154562,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536701,1154544,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538843,1152818,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536272,1153280,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536820,1153289,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536885,1153141,Martinet noir,61,0,0,,,,nichoir_artificiel,Nichoir artificiel
2536438,1152135,Martinet noir,4,0,0,,,,nichoir_artificiel,Nichoir artificiel
2537166,1152841,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536879,1152871,Martinet noir,60,0,0,,,,nichoir_artificiel,Nichoir artificiel
2536969,1152994,Martinet noir,12,0,0,,,,nichoir_artificiel,Nichoir artificiel
2537783,1153469,Martinet noir,0,9,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2536980,1153366,Martinet noir,2,1,0,,,,nichoir_mixte,Nichoir artificiel + nid naturel
2537236,1153212,Martinet noir,4,1,0,,,,nichoir_mixte,Nichoir artificiel + nid naturel
2539056,1152584,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2539083,1152622,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537545,1151599,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537572,1151592,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537194,1151519,Martinet noir,18,0,0,,,,nichoir_artificiel,Nichoir artificiel
2537609,1151405,Martinet noir,0,2,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537536,1151569,Martinet noir,0,2,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537628,1151575,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537700,1151256,Martinet noir,6,0,0,,,,nichoir_artificiel,Nichoir artificiel
2537412,1151544,Martinet noir,0,0,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2538018,1151906,Martinet noir,1,1,0,,,,nichoir_mixte,Nichoir artificiel + nid naturel
2537970,1151892,Martinet noir,0,2,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537812,1151411,Martinet noir,50,0,0,,,,nichoir_artificiel,Nichoir artificiel
2538096,1153175,Martinet noir,3,0,0,,,,nichoir_artificiel,Nichoir artificiel
2536775,1153475,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
2537434,1153205,Martinet noir,0,1,0,,,,nichoir_naturel,Nid naturel sur structure bâtie
