name,google_place_id,municipality,monday,tuesday,wednesday,thursday,friday,saturday,sunday,hours_available,open_before_8am,open_after_7pm,open_saturday,open_sunday,earliest_open,latest_close,is_24h,weekday_hours_count
Café Jayko,ChIJB68498RDjEcRCM9FQuKbaZI,Nyon,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-10:00 PM,9:00 AM-12:00 AM,9:00 AM-12:00 AM,4:30 PM-12:00 AM,Closed,True,False,True,True,False,9.0,24.0,False,5
ATELIER 9 Coworking Nyon,ChIJ414lnjxDjEcRo48LBF7Jkuc,Nyon,"9:00 AM-12:00 PM, 1:00-6:00 PM","9:00 AM-12:00 PM, 1:00-6:00 PM","9:00 AM-12:00 PM, 1:00-6:00 PM","9:00 AM-12:00 PM, 1:00-6:00 PM",Closed,Closed,Closed,True,False,False,False,False,9.0,18.0,False,4
PepperHub Gland,ChIJd2d9GORFjEcRhsKCpbiGG0E,Gland,8:30 AM-5:30 PM,8:30 AM-5:30 PM,8:30 AM-5:30 PM,8:30 AM-5:30 PM,8:30 AM-5:30 PM,Closed,Closed,True,False,False,False,False,8.5,17.5,False,5
Ichibani Coworking Rolle,ChIJyRiYfs1FjEcR6oJ_LaiDLng,Rolle,8:30 AM-5:00 PM,8:30 AM-5:00 PM,8:30 AM-5:00 PM,8:30 AM-5:00 PM,8:30 AM-5:00 PM,Closed,Closed,True,False,False,False,False,8.5,17.0,False,5
Uluwatu House Rolle,ChIJH6j8cSxHjEcRq73vxsAG3gg,Rolle,8:00 AM-5:30 PM,8:00 AM-5:30 PM,8:00 AM-5:30 PM,8:00 AM-5:30 PM,8:00 AM-5:30 PM,8:00 AM-6:00 PM,9:00 AM-4:00 PM,True,False,False,True,True,8.0,18.0,False,5
lykke Bar Café Boutique,ChIJPyiwYRQ3jEcRe1cb06Cnpkc,Morges,Closed,9:00 AM-6:00 PM,9:00 AM-6:00 PM,9:00 AM-9:00 PM,9:00 AM-9:00 PM,8:00 AM-6:00 PM,Closed,True,False,True,True,False,8.0,21.0,False,4
Bibliothèque publique de Morges,ChIJVfTpsxU3jEcRLfBO5934hFQ,Morges,2:00-6:00 PM,2:00-6:00 PM,"10:00 AM-12:00 PM, 2:00-7:00 PM",2:00-6:00 PM,2:00-6:00 PM,10:00 AM-1:00 PM,Closed,True,False,False,True,False,10.0,19.0,False,5
KO-LAB,ChIJTeHOXqA3jEcRlrqMEJTEu24,Morges,Closed,8:00 AM-3:00 PM,8:00 AM-3:00 PM,8:00 AM-3:00 PM,8:00 AM-3:00 PM,9:00 AM-4:00 PM,Closed,True,False,False,True,False,8.0,16.0,False,4
Society Coworking Morges,ChIJSdbNoyI3jEcRJGN0uU4dRew,Morges,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,8:00 AM-5:00 PM,Closed,Closed,True,False,False,False,False,8.0,17.0,False,5
Regus Préverenges,ChIJo5RsOwQ3jEcRiHyxF1sx-sw,Préverenges,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,True,True,True,True,True,0.0,24.0,True,5
