name,lat_wgs84,lon_wgs84,place_type,google_rating,google_review_count,address,municipality,google_place_id
Coffee Shop Sleepy Bear,46.5154,6.6313,café,4.6,599,"Rue du Simplon 3A, 1006 Lausanne",Lausanne,ChIJFaJJA80vjEcRtg9rWGE_mXg
Gotham Lausanne Gare,46.5164,6.6328,coworking,4.4,153,"Avenue d'Ouchy 4, 1006 Lausanne",Lausanne,ChIJl1qTxcwvjEcRPRGD7etwhGQ
Coworking de la Madeleine,46.5224,6.6329,coworking,5.0,5,"Rue Madeleine 5, 1003 Lausanne",Lausanne,ChIJnW3ONdMvjEcRXqweqW0o5x8
BCU Lausanne (Unithèque),46.5232,6.6335,library,4.4,85,"Place de la Riponne, 1014 Lausanne",Lausanne,ChIJL1blCDEujEcRrSTuhxnJ9oM
Tchalo Work Lounge,46.5122,6.634,coworking,5.0,5,"Avenue Maria-Belgia 2, 1006 Lausanne",Lausanne,ChIJJ50NWTMvjEcRSfU36Z6L4Ds
Pully-coworking,46.5106,6.65,coworking,5.0,1,"Chemin du Château-Sec 2, 1009 Pully",Pully,ChIJJR7T5LEvjEcRYy1YiJ7EgsA
Rush Coffee Lutry,46.5028,6.6839,café,4.9,77,"Grand-Rue 3, 1095 Lutry",Lutry,ChIJR_jphREvjEcRNcdZF3kgx9E
Café culturel OZarts,46.5041,6.6869,café,4.9,30,"Rue du Voisinand 15, 1095 Lutry",Lutry,ChIJhTRpzTwvjEcRksk435OHcyU
Office Hub Vevey,46.4636,6.838,coworking,4.7,3,"Avenue Nestlé 16, 1800 Vevey",Vevey,ChIJ4Y_JouqdjkcRH8REkm13snE
Vibration Workingshare,46.4651,6.8396,coworking,4.4,7,"Avenue du Général-Guisan 30B, 1800 Vevey",Vevey,ChIJBXcsQgWdjkcRFZqeXD5gwZM
Café La Belle Epoque,46.4623,6.8417,café,4.8,38,"Rue de la Madeleine 37, 1800 Vevey",Vevey,ChIJAyO7d-SdjkcRBY7ISxzhEMU
Eleven Coffee Vevey,46.4612,6.843,café,4.9,251,"Rue du Théâtre 9, 1800 Vevey",Vevey,ChIJz14rZ2-djkcRDBbgdkq5OP4
Coworking Vevey Communaux,46.4623,6.8439,coworking,5.0,1,"Rue des Communaux 35 Bis, 1800 Vevey",Vevey,ChIJ2Xxg3TKdjkcR2PWzjx-4z9M
Bibliothèque municipale Vevey,46.4584,6.8448,library,4.6,56,"Quai Perdonnet 33, 1800 Vevey",Vevey,ChIJJ-ncy8-cjkcRBDyZE5XY4fM
En Vogue Vevey,46.4589,6.849,café,5.0,39,"Rue du Collège 18, 1800 Vevey",Vevey,ChIJM2Cc8D-djkcRfPj7sUK7-5M
TheWorkHub Vevey,46.457,6.8536,coworking,4.9,34,"Rue de l'Oyonne 1, 1800 Vevey",Vevey,ChIJ83KY6dScjkcRMdR7ZYSysY4
Bibliothèque Montreux-Veytaux,46.4372,6.9083,library,4.6,30,"Grand-Rue 92, 1820 Montreux",Montreux,ChIJnVTWRBqbjkcRgIM4jKdVA3U
Coworking Montreux,46.4368,6.9098,coworking,4.9,12,"Avenue des Alpes 80B, 1820 Montreux",Montreux,ChIJYeZJMRebjkcRxXJ1EwX43j4
Sleepy Bear Coffee Montreux,46.4347,6.9108,café,4.6,319,"Avenue des Alpes 68, 1820 Montreux",Montreux,ChIJcY6nOAKbjkcRCbLUM2IT6Ms
C+ Montreux,46.4295,6.9117,café,4.9,77,"Rue du Théâtre 9, 1820 Montreux",Montreux,ChIJF_MVAZebjkcRMF-xFZRwvds
Five Coworking Montreux,46.4303,6.9129,coworking,5.0,11,"Avenue du Casino 28, 1820 Montreux",Montreux,ChIJnRc4ckybjkcR9FdqA42RNtI
Fleurs de thé Montreux,46.43,6.913,café,5.0,105,"Avenue Nestlé 12, 1820 Montreux",Montreux,ChIJd_rnAq6bjkcRSOxTaLHBpW8
Restaurant l'Oasis Villeneuve,46.3973,6.9238,café,4.0,1343,"Quai Grand'Rive 7, 1844 Villeneuve",Villeneuve,ChIJbRsHyTuajkcRy2b0RfsyspI
