name,lat_wgs84,lon_wgs84,place_type,google_rating,google_review_count,address,municipality,google_place_id,nearest_train_station,distance_to_train_m,trains_per_hour,daily_ridership,commuter_index,nearest_ev_charger_m,nearest_ev_charge_level,ev_chargers_within_1km,nearest_shared_mobility_m,nearest_shared_mobility_provider,shared_mobility_within_500m,nearest_wifi_m,nearest_wifi_quality,cell_towers_within_500m,has_5g_nearby,hours_score,early_open,late_close,weekend_open,review_count,work_relevant_review_count,positive_review_pct
Rush Coffee Lutry,46.5028,6.6839,café,4.9,77,"Grand-Rue 3, 1095 Lutry",Lutry,ChIJR_jphREvjEcRNcdZF3kgx9E,La Conversion,1221.3,4.0,1100.0,1.69,96.1,,1,102.8,mobility,1,170.1,1.0,13,True,0.2,False,False,True,1,0,1.0
Café culturel OZarts,46.5041,6.6869,café,4.9,30,"Rue du Voisinand 15, 1095 Lutry",Lutry,ChIJhTRpzTwvjEcRksk435OHcyU,Bossière,1138.6,2.0,150.0,1.23,177.4,,1,169.0,mobility,1,211.7,1.0,18,True,0.2,False,False,True,1,0,1.0
Office Hub Vevey,46.4636,6.838,coworking,4.7,3,"Avenue Nestlé 16, 1800 Vevey",Vevey,ChIJ4Y_JouqdjkcRH8REkm13snE,Vevey,421.2,20.0,25900.0,1.48,169.9,fast,9,68.8,2em_cars,24,207.0,3.0,27,True,0.0,False,False,False,1,1,1.0
Vibration Workingshare,46.4651,6.8396,coworking,4.4,7,"Avenue du Général-Guisan 30B, 1800 Vevey",Vevey,ChIJBXcsQgWdjkcRFZqeXD5gwZM,Vevey,374.8,20.0,25900.0,1.48,135.9,fast,9,92.4,mobility,25,0.0,3.0,27,True,1.0,True,True,True,0,0,
Café La Belle Epoque,46.4623,6.8417,café,4.8,38,"Rue de la Madeleine 37, 1800 Vevey",Vevey,ChIJAyO7d-SdjkcRBY7ISxzhEMU,Vevey,153.8,20.0,25900.0,1.48,115.3,medium,10,60.7,2em_cars,27,63.6,3.0,32,True,0.8,True,True,True,1,1,1.0
Eleven Coffee Vevey,46.4612,6.843,café,4.9,251,"Rue du Théâtre 9, 1800 Vevey",Vevey,ChIJz14rZ2-djkcRDBbgdkq5OP4,Vevey,203.1,20.0,25900.0,1.48,166.4,,9,49.7,carvelo2go,25,11.1,2.0,32,True,0.5,True,False,True,1,0,1.0
Coworking Vevey Communaux,46.4623,6.8439,coworking,5.0,1,"Rue des Communaux 35 Bis, 1800 Vevey",Vevey,ChIJ2Xxg3TKdjkcR2PWzjx-4z9M,Vevey,86.0,20.0,25900.0,1.48,156.5,medium,10,28.5,velospot,24,0.0,4.0,32,True,0.0,False,False,False,0,0,
Bibliothèque municipale Vevey,46.4584,6.8448,library,4.6,56,"Quai Perdonnet 33, 1800 Vevey",Vevey,ChIJJ-ncy8-cjkcRBDyZE5XY4fM,Vevey,522.4,20.0,25900.0,1.48,256.6,medium,9,10.9,carvelo2go,13,350.7,2.0,18,True,0.2,False,False,True,1,1,1.0
En Vogue Vevey,46.4589,6.849,café,5.0,39,"Rue du Collège 18, 1800 Vevey",Vevey,ChIJM2Cc8D-djkcRfPj7sUK7-5M,Vevey,624.6,20.0,25900.0,1.48,216.6,medium,10,116.2,velospot,11,410.8,5.0,13,True,0.7,False,True,True,0,0,
TheWorkHub Vevey,46.457,6.8536,coworking,4.9,34,"Rue de l'Oyonne 1, 1800 Vevey",Vevey,ChIJ83KY6dScjkcRMdR7ZYSysY4,La Tour-de-Peilz,485.1,4.0,2900.0,1.52,75.4,medium,11,74.1,mobility,13,0.0,5.0,13,True,1.0,True,True,True,3,3,1.0
Bibliothèque Montreux-Veytaux,46.4372,6.9083,library,4.6,30,"Grand-Rue 92, 1820 Montreux",Montreux,ChIJnVTWRBqbjkcRgIM4jKdVA3U,Montreux,218.7,16.0,18000.0,1.02,214.4,medium,7,70.6,2em_cars,10,123.3,5.0,11,True,0.2,False,False,True,2,1,1.0
Coworking Montreux,46.4368,6.9098,coworking,4.9,12,"Avenue des Alpes 80B, 1820 Montreux",Montreux,ChIJYeZJMRebjkcRxXJ1EwX43j4,Montreux,112.3,16.0,18000.0,1.02,163.1,medium,7,36.4,mobility,12,0.0,5.0,16,True,0.0,False,False,False,2,2,1.0
Sleepy Bear Coffee Montreux,46.4347,6.9108,café,4.6,319,"Avenue des Alpes 68, 1820 Montreux",Montreux,ChIJcY6nOAKbjkcRCbLUM2IT6Ms,Montreux,135.1,16.0,18000.0,1.02,85.6,medium,7,65.2,2em_cars,18,126.1,4.0,21,True,0.4,False,False,True,1,0,1.0
C+ Montreux,46.4295,6.9117,café,4.9,77,"Rue du Théâtre 9, 1820 Montreux",Montreux,ChIJF_MVAZebjkcRMF-xFZRwvds,Montreux,716.9,16.0,18000.0,1.02,39.0,fast,5,149.8,velospot,12,128.0,4.0,18,True,0.4,False,False,True,0,0,
Five Coworking Montreux,46.4303,6.9129,coworking,5.0,11,"Avenue du Casino 28, 1820 Montreux",Montreux,ChIJnRc4ckybjkcR9FdqA42RNtI,Montreux,649.6,16.0,18000.0,1.02,107.2,fast,5,55.1,2em_cars,12,0.0,4.0,18,True,0.0,False,False,False,1,1,1.0
Fleurs de thé Montreux,46.43,6.913,café,5.0,105,"Avenue Nestlé 12, 1820 Montreux",Montreux,ChIJd_rnAq6bjkcRSOxTaLHBpW8,Montreux,683.7,16.0,18000.0,1.02,85.3,fast,5,56.7,2em_cars,12,34.2,4.0,18,True,0.4,False,False,True,0,0,
Restaurant l'Oasis Villeneuve,46.3973,6.9238,café,4.0,1343,"Quai Grand'Rive 7, 1844 Villeneuve",Villeneuve,ChIJbRsHyTuajkcRy2b0RfsyspI,Villeneuve VD,272.1,8.0,3800.0,1.54,187.5,fast,2,201.3,velospot,5,730.4,1.0,3,True,0.7,False,True,True,1,0,1.0
