station_name,lat_wgs84,lon_wgs84,daily_avg,workday_avg,nonworkday_avg,commuter_index,source,year,uic,curve_profile,pct_h00,pct_h01,pct_h02,pct_h03,pct_h04,pct_h05,pct_h06,pct_h07,pct_h08,pct_h09,pct_h10,pct_h11,pct_h12,pct_h13,pct_h14,pct_h15,pct_h16,pct_h17,pct_h18,pct_h19,pct_h20,pct_h21,pct_h22,pct_h23,peak_morning_pct,peak_evening_pct,off_peak_pct
Genève-Sécheron,46.222452,6.144542,2200,2900.0,640.0,4.53,sbb_passagierfrequenz_2024,2024,8516283.0,high_commuter_bedroom,0.004492,0.004579,0.004447,0.004434,0.004486,0.00482,0.024174,0.179939,0.155509,0.021623,0.015894,0.023916,0.028606,0.029843,0.024225,0.016979,0.028905,0.137377,0.197532,0.066651,0.008207,0.004406,0.004437,0.00452,0.381245,0.430465,0.18829
Genthod-Bellevue,46.256747,6.153947,1700,2000.0,920.0,2.17,sbb_passagierfrequenz_2024,2024,8501021.0,high_commuter_bedroom,0.004883,0.004819,0.004856,0.004744,0.00477,0.005322,0.032443,0.194319,0.124694,0.018615,0.017612,0.026585,0.032346,0.032574,0.025522,0.018536,0.04279,0.171609,0.172537,0.039508,0.006323,0.004925,0.004885,0.004782,0.370071,0.426445,0.203484
Versoix,46.279741,6.165718,4400,5100.0,2800.0,1.82,sbb_passagierfrequenz_2024,2024,8501022.0,moderate_commuter_small,0.005081,0.004968,0.005014,0.004939,0.004886,0.006503,0.036334,0.147982,0.143093,0.038717,0.018869,0.026099,0.031377,0.031501,0.026754,0.02894,0.079835,0.159266,0.131824,0.044061,0.009167,0.005109,0.004837,0.004843,0.366126,0.414985,0.218889
Tannay,46.307659,6.181097,740,830.0,560.0,1.48,sbb_passagierfrequenz_2024,2024,8501015.0,moderate_commuter_small,0.00421,0.004029,0.004107,0.004307,0.004759,0.01098,0.040028,0.093649,0.124676,0.085719,0.038593,0.026807,0.028828,0.031886,0.042953,0.06753,0.107406,0.115925,0.087896,0.043854,0.016722,0.006682,0.004365,0.004088,0.344072,0.355081,0.300847
Mies,46.298503,6.167641,790,950.0,450.0,2.11,sbb_passagierfrequenz_2024,2024,8501014.0,high_commuter_bedroom,0.004786,0.004679,0.004658,0.004842,0.004887,0.005317,0.033152,0.193112,0.125796,0.018254,0.017887,0.026279,0.031612,0.032361,0.026044,0.01887,0.045962,0.169933,0.171191,0.039768,0.006556,0.004703,0.004661,0.00469,0.370314,0.426855,0.202831
Villeneuve VD,46.398369,6.926992,3800,4300.0,2800.0,1.54,sbb_passagierfrequenz_2024,2024,8501303.0,terminal_minor,0.005051,0.005058,0.005092,0.004977,0.00502,0.006689,0.038256,0.167146,0.164066,0.044368,0.019107,0.02696,0.031969,0.032309,0.027626,0.028213,0.07057,0.142522,0.113921,0.037301,0.008745,0.005149,0.00494,0.004944,0.413836,0.364314,0.22185
Bex,46.251462,7.000653,2700,3000.0,1800.0,1.67,sbb_passagierfrequenz_2024,2024,8501402.0,terminal_minor,0.004838,0.004902,0.004832,0.004796,0.004831,0.006638,0.040234,0.164474,0.162727,0.043975,0.018556,0.026363,0.032396,0.032144,0.02592,0.02762,0.070455,0.146056,0.115796,0.039041,0.008571,0.004911,0.005032,0.004889,0.411411,0.371349,0.21724
Gland,46.419998,6.269128,6900,8400.0,3600.0,2.33,sbb_passagierfrequenz_2024,2024,8501031.0,high_commuter_bedroom,0.005022,0.005046,0.005139,0.005174,0.005037,0.005467,0.032464,0.189875,0.130562,0.018408,0.017378,0.026053,0.032432,0.031115,0.025793,0.019302,0.041633,0.170369,0.169877,0.041897,0.006727,0.004962,0.005182,0.005085,0.37131,0.423776,0.204914
Allaman,46.47576,6.399683,5200,6200.0,3100.0,2.0,sbb_passagierfrequenz_2024,2024,8501035.0,high_commuter_bedroom,0.005006,0.005105,0.005031,0.005136,0.005126,0.005578,0.034153,0.19549,0.123058,0.017829,0.018409,0.025656,0.033335,0.033263,0.026335,0.019847,0.04399,0.168452,0.167668,0.0398,0.006559,0.005032,0.004969,0.005173,0.37053,0.41991,0.20956
Puidoux,46.493838,6.76568,2000,2400.0,1300.0,1.85,sbb_passagierfrequenz_2024,2024,8504012.0,moderate_commuter_small,0.004812,0.004723,0.004794,0.00484,0.004838,0.006349,0.038048,0.148419,0.144662,0.039017,0.018722,0.024626,0.031448,0.031048,0.026671,0.028609,0.079127,0.16161,0.133279,0.041465,0.008682,0.004784,0.00464,0.004788,0.370146,0.415481,0.214373
